Total, Tổng cộng
Order, Đặt hàng
Sku, Mã hàng
Continue to shipping, Tiếp tục vận chuyển
Continue shopping, Tiếp tục mua sắm
Continue Shopping, Tiếp tục mua sắm
CONTINUE SHOPPING, TIẾP TỤC MUA SẮM
Shopping cart, Giỏ hàng
Product, Sản phẩm
Price, Giá
Quantity, Số lượng
Remove, Di dời
Qty, Số lượng
Sub total, Tổng phụ
Discount(${coupon}), Giảm giá(${coupon})
Order summary, Tóm tắt đơn hàng
Taxes and shipping calculated at checkout, Thuế và phí vận chuyển được tính khi thanh toán
CHECKOUT, THANH TOÁN
Change, Thay đổi
Payment Method, Phương thức thanh toán
Shipping Address, Địa chỉ giao hàng
Shipping Method, Phương thức vận chuyển
No payment methods available, Không có phương thức thanh toán nào
Place Order, Đặt hàng
My billing address is same as shipping address, Địa chỉ thanh toán của tôi giống với địa chỉ giao hàng
${count} items, ${count} mặt hàng
Discount, Giảm giá
Shipping, vận chuyển
No tax, Không có thuế
Tax, Thuế
Sorry, Lấy làm tiếc
Please enter a shipping address in order to see shipping quotes, Vui lòng nhập địa chỉ giao hàng để xem báo giá vận chuyển
Continue to payment, Tiếp tục thanh toán
No payment method available, Không có phương thức thanh toán nào
Ship to, Gửi hàng tới
Shipment, Lô hàng
Thank you ${name}!, Cảm ơn bạn ${name}!
Contact information, Thông tin liên hệ
Order #${orderNumber}, Đơn hàng #${orderNumber}
ADD TO CART, THÊM VÀO GIỎ HÀNG
Please select variant options, Vui lòng chọn các tùy chọn biến thể
VIEW CART (${count}), XEM GIỎ HÀNG (${count})
JUST ADDED TO YOUR CART, CHỈ ĐƯỢC THÊM VÀO GIỎ HÀNG CỦA BẠN
Promotion code?, Mã khuyến mãi?
Enter coupon code, Nhập mã phiếu giảm giá
Apply, Áp dụng
Your cart is empty!, Giỏ hàng của bạn trống!
Full name, Tên đầy đủ
Telephone, Điện thoại
Address, Địa chỉ
City, Thành phố
Country, Quốc gia
Postcode, Mã bưu điện
Inclusive of tax, Đã bao gồm thuế
Sorry, Lấy làm tiếc
Full name is required, Tên đầy đủ là bắt buộc
Telephone is required, Cần có điện thoại
Address is required, Địa chỉ là bắt buộc
City is required, Thành phố là bắt buộc
Country is required, Quốc gia là bắt buộc
Postcode is required, Mã bưu điện là bắt buộc
Contact, Liên hệ
