Login, Đăng nhập
Logout, Đăng xuất
Email, E-mail
Password, Mật khẩu
Forgot your password?, Bạn quên mật khẩu?
Create an account, Tạo một tài khoản
Register, Đăng ký
Full Name, Tên đầy đủ
Full name, Tên đầy đủ
SIGN IN, ĐĂNG NHẬP
Order History, Lịch sử đặt hàng
Account Details, Chi tiết tài khoản
You have not placed any orders yet, Bạn chưa đặt đơn hàng nào
My Account, Tài khoản của tôi
Already have an account?, Đã có tài khoản?
Contact information, Thông tin liên hệ
City, Thành phố
Account Information, Thông tin tài khoản
Address, Địa chỉ
Postcode, Mã bưu điện
Postcode is required, Mã bưu điện là bắt buộc
Telephone is required, Cần có điện thoại
Telephone, Điện thoại
Full name is required, Tên đầy đủ là bắt buộc
Country is required, Quốc gia là bắt buộc
Country, Quốc gia
Province is required, Tỉnh là bắt buộc
Province, Tỉnh
Billing Address, Địa chỉ thanh toán
Shipping Address, Địa chỉ giao hàng
Create A New Account, Tạo một tài khoản mới
Contact, Liên hệ
Customer information, Thông tin khách hàng
